Elevation,Area,WE,EleZone
3430,1875,10.397572,3400
3440,625,14.292751,3400
3450,625,14.630082,3400
3460,625,14.471041,3400
3470,1875,14.94876,3400
3480,1875,18.5554,3400
3490,1875,18.5554,3400
3500,625,18.075144,3500
3510,625,18.075144,3500
3520,625,13.264256,3500
3530,625,0,3500
3540,2500,20.312938,3500
3550,1250,19.24909,3500
3560,1250,19.24909,3500
3570,2500,22.012201,3500
3580,625,21.758375,3500
3590,3750,19.642069,3500
3600,3125,21.276685,3600
3610,6250,26.059237,3600
3620,59375,36.100685,3600
3630,29375,28.162305,3600
3640,21875,28.807293,3600
3650,24375,33.193097,3600
3660,23750,33.640209,3600
3670,24375,42.482306,3600
3680,24375,42.939768,3600
3690,30625,47.038783,3600
3700,37500,53.655597,3700
3710,45625,56.613039,3700
3720,58750,56.611186,3700
3730,56875,54.589618,3700
3740,45000,52.528502,3700
3750,46875,53.025668,3700
3760,50625,53.792552,3700
3770,48750,57.481834,3700
3780,46875,59.62443,3700
3790,45625,64.703728,3700
3800,48125,63.995499,3800
3810,43750,64.215989,3800
3820,56875,62.5266,3800
3830,73750,60.587806,3800
3840,78125,63.425384,3800
3850,86250,59.811268,3800
3860,88125,61.632484,3800
3870,98750,59.59912,3800
3880,95000,64.161596,3800
3890,100000,61.050964,3800
3900,91250,59.51847,3900
3910,100000,64.504007,3900
3920,112500,62.617092,3900
3930,107500,67.679365,3900
3940,146875,69.561961,3900
3950,137500,76.758477,3900
3960,140625,86.003013,3900
3970,132500,84.44182,3900
3980,136250,87.372357,3900
3990,196875,93.69314,3900
4000,201875,111.305671,4000
4010,245625,116.619601,4000
4020,288750,140.917908,4000
4030,302500,164.440102,4000
4040,286250,150.402544,4000
4050,354375,165.579062,4000
4060,451250,179.879859,4000
4070,420000,169.830086,4000
4080,315625,147.734208,4000
4090,322500,136.01965,4000
4100,336250,131.783981,4100
4110,339375,129.709647,4100
4120,335000,121.275143,4100
4130,387500,125.899311,4100
4140,410625,127.511443,4100
4150,409375,118.132537,4100
4160,492500,117.453981,4100
4170,567500,126.424656,4100
4180,605625,142.064142,4100
4190,435625,123.489052,4100
4200,469375,128.729604,4200
4210,455625,131.389376,4200
4220,435000,129.476249,4200
4230,438750,141.263164,4200
4240,542500,144.013972,4200
4250,497500,119.830596,4200
4260,443125,114.700753,4200
4270,470625,106.481323,4200
4280,538750,108.525468,4200
4290,554375,109.581656,4200
4300,468125,95.015069,4300
4310,505000,88.82237,4300
4320,528125,91.102265,4300
4330,590000,90.352077,4300
4340,686250,111.08198,4300
4350,693125,103.0125,4300
4360,685000,99.039802,4300
4370,781875,103.077333,4300
4380,780625,103.463146,4300
4390,876875,117.069046,4300
4400,823750,114.29741,4400
4410,826250,115.476407,4400
4420,993125,124.334701,4400
4430,996250,121.062629,4400
4440,812500,109.944788,4400
4450,847500,116.942724,4400
4460,844375,126.259072,4400
4470,946250,132.319176,4400
4480,1069375,131.225195,4400
4490,991250,121.722613,4400
4500,936875,117.162825,4500
4510,900625,106.752925,4500
4520,983750,96.891463,4500
4530,1023750,92.716914,4500
4540,1089375,96.163337,4500
4550,1057500,88.069359,4500
4560,1150625,83.496614,4500
4570,1063125,82.650043,4500
4580,1078750,82.977195,4500
4590,989375,81.073124,4500
4600,928750,77.5714,4600
4610,912500,73.314633,4600
4620,860625,69.390991,4600
4630,799375,67.339399,4600
4640,825625,69.418244,4600
4650,811250,68.295735,4600
4660,855625,70.397267,4600
4670,859375,67.543154,4600
4680,793750,62.9996,4600
4690,736250,62.429653,4600
4700,646875,57.112276,4700
4710,570625,58.266497,4700
4720,561250,55.843582,4700
4730,542500,59.787835,4700
4740,521875,55.657514,4700
4750,538125,62.699128,4700
4760,481250,57.36238,4700
4770,491250,54.046289,4700
4780,490625,53.830277,4700
4790,461250,52.665528,4700
4800,458750,48.160612,4800
4810,433125,47.657093,4800
4820,394375,44.250605,4800
4830,361875,42.098864,4800
4840,350625,40.504914,4800
4850,327500,40.949393,4800
4860,333125,39.358766,4800
4870,303750,41.023422,4800
4880,255000,42.798668,4800
4890,264375,43.835096,4800
4900,236250,47.269505,4900
4910,223125,48.552123,4900
4920,225000,48.255148,4900
4930,227500,46.649477,4900
4940,239375,55.472598,4900
4950,251875,54.328813,4900
4960,244375,54.295247,4900
4970,245000,55.50709,4900
4980,234375,47.734109,4900
4990,218125,45.326294,4900
5000,215625,43.277747,5000
5010,207500,40.47559,5000
5020,214375,40.699825,5000
5030,221875,38.948123,5000
5040,224375,40.354356,5000
5050,226875,40.366969,5000
5060,233750,43.886466,5000
5070,330625,49.535176,5000
5080,280000,43.807503,5000
5090,250000,42.596921,5000
5100,251250,44.361992,5100
5110,254375,45.578824,5100
5120,276875,52.203787,5100
5130,255625,51.827278,5100
5140,249375,47.269739,5100
5150,254375,45.427443,5100
5160,234375,43.995112,5100
5170,232500,45.11417,5100
5180,220000,44.817885,5100
5190,226875,40.67319,5100
5200,225625,40.289912,5200
5210,246875,38.663375,5200
5220,243125,36.01232,5200
5230,215625,33.101765,5200
5240,229375,31.328863,5200
5250,211875,30.303914,5200
5260,216250,23.560385,5200
5270,209375,24.301096,5200
5280,173125,23.887849,5200
5290,176875,21.770452,5200
5300,160625,20.372524,5300
5310,170625,21.758276,5300
5320,160625,21.751928,5300
5330,158750,19.857373,5300
5340,169375,16.340785,5300
5350,124375,18.48422,5300
5360,104375,23.130944,5300
5370,106875,24.448758,5300
5380,108125,24.509635,5300
5390,86875,24.317394,5300
5400,83125,23.757183,5400
5410,75000,24.389722,5400
5420,68750,24.423085,5400
5430,80625,26.487139,5400
5440,86250,26.254486,5400
5450,83125,25.677084,5400
5460,69375,25.687534,5400
5470,60625,26.164465,5400
5480,52500,24.886521,5400
5490,58125,24.115707,5400
5500,48750,23.901374,5500
5510,35625,22.692654,5500
5520,38125,22.332109,5500
5530,31875,25.073946,5500
5540,34375,23.293949,5500
5550,34375,22.989395,5500
5560,33750,24.700467,5500
5570,26875,23.497003,5500
5580,31875,23.467532,5500
5590,26250,24.587915,5500
5600,37500,22.732884,5600
5610,25625,24.037358,5600
5620,45000,23.345322,5600
5630,33750,22.687987,5600
5640,20625,23.037157,5600
5650,42500,23.449674,5600
5660,28750,23.861591,5600
5670,31250,23.10328,5600
5680,28750,22.455191,5600
5690,30625,22.65526,5600
5700,20000,21.253769,5700
5710,28750,22.991711,5700
5720,27500,23.116031,5700
5730,21875,22.286194,5700
5740,25000,24.163308,5700
5750,25625,23.657384,5700
5760,25625,22.9981,5700
5770,26250,22.16176,5700
5780,26875,21.925745,5700
5790,25000,22.393638,5700
5800,19375,23.953392,5800
5810,25625,21.994688,5800
5820,25000,21.986611,5800
5830,30625,22.100455,5800
5840,33750,21.671199,5800
5850,21875,21.77019,5800
5860,15000,20.831414,5800
5870,13125,19.606734,5800
5880,11875,17.988784,5800
5890,6875,16.546181,5800
5900,3125,18.14941,5900
5910,1875,18.42249,5900
5920,625,15.272834,5900
5925,625,12.264485,5900
